게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,플랫폼 이름,이미지 URL,장르,연령 등급
Destiny 2: Year of Prophecy Ultimate Edition,109900,96800,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-12,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Stellar Blade™ Complete Edition,83800,83800,https://www.greenmangaming.com/games/stellar-blade-complete-edition-pc/,0,0,Green Man Gaming,https://images.greenmangaming.com/22cb949d207b4480a62fef5425d9e24e/cba812b26c5b465486253d96c86290d1.jpg,,
Clair Obscur: Expedition 33,54800,46600,https://www.greenmangaming.com/games/clair-obscur-expedition-33-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/9c513fcc26e64f33baaa9594705c33a5/188d307dec724cdc81e68fa9e30417ff.jpg,"Action, RPG",19세 이용가
