게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,플랫폼 이름,이미지 URL,장르,연령 등급
Broken Sword - Shadow of the Templars: Reforged,32000,32000,https://store.epicgames.com/ko/p/broken-sword-shadow-of-the-templars-reforged-ab2f1e,0,0,Epic,https://cdn1.epicgames.com/spt-assets/aaa9396aa1f5438da70b676f5d1bd8b1/broken-sword--shadow-of-the-templars-reforged-1ie6a.png?resize=1&w=360&h=480&quality=medium,"Adventure, Casual, Indie",
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,25000,12500,https://store.epicgames.com/ko/p/total-war-warhammer-3--forge-of-the-chaos-dwarfs,-50,0,Epic,https://cdn1.epicgames.com/offer/dda64c2956b54f1ba3cd97f6aaee775f/EGS_TotalWarWARHAMMERIIIForgeoftheChaosDwar_SEGA_DLC_S2_1200x1600-4a87fadccf67e800f26028d1fec0130e?resize=1&w=360&h=480&quality=medium,"Action, Strategy",
Dead by Daylight - Escape Expansion Pack,26250,13120,https://store.epicgames.com/ko/p/dead-by-daylight--survivor-expansion-pack,-50,0,Epic,https://cdn1.epicgames.com/offer/611482b8586142cda48a0786eb8a127c/EGS_DeadbyDaylightEscapeExpansionPack_BehaviourInteractive_Packs_S2_1200x1600-2c2fa0b5bebd676147868fc7559fbd98?resize=1&w=360&h=480&quality=medium,Action,
Kingdom Come: Deliverance II The Lion’s Crest,5100,5100,https://store.epicgames.com/ko/p/kingdom-come-deliverance-2-the-lions-crest-3232da,0,0,Epic,https://cdn1.epicgames.com/spt-assets/a7641d724f1242db95f8f72fc0fd8d81/kingdom-come-deliverance-2-1id6n.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure, RPG",
Atomfall,51200,51200,https://store.epicgames.com/ko/p/atomfall,0,0,Epic,https://cdn1.epicgames.com/offer/8cd5e5952bb24df7813017d11d3ac03b/EGS_Atomfall_Rebellion_S2_1200x1600-2c38b2d3ad863e9c95a2eef57bea6f13?resize=1&w=360&h=480&quality=medium,"Action, Adventure",
Dead by Daylight - Doomed Course,8500,4250,https://store.epicgames.com/ko/p/dead-by-daylight-dead-by-daylight-doomed-course-dbcb07,-50,0,Epic,https://cdn1.epicgames.com/spt-assets/2b2299be8ae84d679d4dc57c55af1510/dead-by-daylight-ljrkx.jpg?resize=1&w=360&h=480&quality=medium,Action,
Dead by Daylight - Chucky Chapter,5500,5500,https://store.epicgames.com/ko/p/dead-by-daylight--chucky-chapter,0,0,Epic,https://cdn1.epicgames.com/offer/611482b8586142cda48a0786eb8a127c/EGS_DeadbyDaylightChuckyChapter_BehaviourInteractive_DLC_S2_1200x1600-d072335a136880cdf71fe60f2aa60af7?resize=1&w=360&h=480&quality=medium,Action,
Destiny 2: Bungie 30th Anniversary Pack,27800,2220,https://store.epicgames.com/ko/p/destiny-2--bungie-30th-anniversary-pack,-92,0,Epic,https://cdn1.epicgames.com/offer/428115def4ca4deea9d69c99c5a5a99e/KO_Bungie_Bungie_30th_Anniversary_Pack_S4_1200x1600_1200x1600-2f01f7b858ab8cc67e7424dcc14c6d8c?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Free To Play",15
Empyrion - Galactic Survival,22200,8880,https://store.epicgames.com/ko/p/empyrion-galactic-survival-fbd99f,-60,0,Epic,https://cdn1.epicgames.com/spt-assets/25da1d05381345f6b50cca947a2fc2fc/empyrion--galactic-survival-1r2cw.jpg?resize=1&w=360&h=480&quality=medium,"Adventure, Indie, Simulation, Strategy",
CarX Drift Racing Online - Deluxe,20400,20400,https://store.epicgames.com/ko/p/carx-drift-racing-online-carx-drift-racing-online-deluxe-b47f55,0,0,Epic,https://cdn1.epicgames.com/spt-assets/bec1ce3db2e44f21a7f18cc10efaaca9/carx-drift-racing-online-1rue9.png?resize=1&w=360&h=480&quality=medium,"Massively Multiplayer, Racing, Simulation, Sports",
Operation: Tango,20500,20500,https://store.epicgames.com/ko/p/operation-tango,0,0,Epic,https://cdn1.epicgames.com/salesEvent/salesEvent/EGS_OperationTango_CleverPlaysStudio_S2_1200x1600-723f640e6dcbac90f3fd8762e69d8724?resize=1&w=360&h=480&quality=medium,"Adventure, Casual",12
Tails of Iron,27000,16200,https://store.epicgames.com/ko/p/tails-of-iron-ii-whiskers-of-winter-cf6611,-40,0,Epic,https://cdn1.epicgames.com/spt-assets/ac08e5cd066143b9b218b3ffb8efddb7/tails-of-iron-2-whiskers-of-winter-1wv1p.png?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Indie",
RollerCoaster Tycoon® 3: Complete Edition,20500,7170,https://store.epicgames.com/ko/p/rollercoaster-tycoon-3-complete-edition,-65,0,Epic,https://cdn1.epicgames.com/f01b3e0178d448f0b93911e292d8e614/offer/EGS_RollerCoasterTycoon3CompleteEdition_FrontierDevelopments_S6-1200x1600-591ca93f3bee7bc55a90b77ccc36eb84.jpg?resize=1&w=360&h=480&quality=medium,"Simulation, Strategy",
"Warhammer 40,000: Rogue Trader - Lex Imperialis",18400,18400,https://store.epicgames.com/ko/p/warhammer-40000-rogue-trader-warhammer-40000-rogue-trader-lex-imperialis-acbc5f,0,0,Epic,https://cdn1.epicgames.com/spt-assets/80b7edd0e102424294be724053c8678e/warhammer-40k-rogue-trader-1ihok.png?resize=1&w=360&h=480&quality=medium,"Adventure, Indie, RPG, Strategy",
Dead by Daylight - Leatherface™,5500,2750,https://store.epicgames.com/ko/p/dead-by-daylight--leatherface,-50,0,Epic,https://cdn1.epicgames.com/offer/611482b8586142cda48a0786eb8a127c/EGS_DeadbyDaylightLeatherface_BehaviourInteractive_DLC_S2_1200x1600-be62dccbaad182dc7aa601983e7e491d?resize=1&w=360&h=480&quality=medium,Action,18
Darkest Dungeon® II,5100,5100,https://store.epicgames.com/ko/p/darkest-dungeon-2--infernal-supporter-pack,0,0,Epic,https://cdn1.epicgames.com/offer/6ff9efdef6dc45ecb40ed20fcd2c4621/EGS_DarkestDungeonIIInfernalSupporterPack_RedHookStudios_Packs_S2_1200x1600-899215865ccc5fa30cda0e96ae7f4119?resize=1&w=360&h=480&quality=medium,"Indie, RPG, Strategy",
Thymesia,27800,9450,https://store.epicgames.com/ko/p/thymesia-f4f399,-66,0,Epic,https://cdn1.epicgames.com/spt-assets/24f4ef3186ea4d0a824df78b3ceae986/thymesia-19q39.jpg?resize=1&w=360&h=480&quality=medium,Action,
Jurassic World Evolution 2: Dominion Biosyn Expansion,20500,8200,https://store.epicgames.com/ko/p/jurassic-world-evolution-2--dominion-biosyn-expansion,-60,0,Epic,https://cdn1.epicgames.com/offer/4817ba5c11504724ba4d5817c8995dff/EGS_JWE2DominionBiosynExpansion_FrontierDevelopments_DLC_S2_1200x1600-7d428cff48a616caecebe854d13e8a95?resize=1&w=360&h=480&quality=medium,"Action, Simulation, Strategy",12
Conan Exiles: Isle of Siptah,21000,15750,https://store.epicgames.com/ko/p/conan-exiles--isle-of-siptah,-25,0,Epic,https://cdn1.epicgames.com/offer/conanexiles/EGS_ConanExilesIsleofSiptah_Funcom_Expansion_S2_1200x1600-5af56e292f1923558b00217151b4f25d?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",
Far Cry® 5,33000,9900,https://store.epicgames.com/ko/p/far-cry-5--season-pass,-70,0,Epic,https://cdn1.epicgames.com/coriander/offer/S2-FAR-CRY-5-1280x1440-bf654f75ea93df59ba8e51c8463415cc.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure",18
Tribes of Midgard,21000,6300,https://store.epicgames.com/ko/p/tribes-of-midgard,-70,0,Epic,https://cdn1.epicgames.com/offer/6774af9524fe4f63b2a6717d04269cd6/EGS_TribesofMidgard_Norsfell_S2_1200x1600-5e7c233ec15749c34acebe2ab56b599e?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Indie, RPG",12
Car Mechanic Simulator 2018,20000,20000,https://store.epicgames.com/ko/p/car-mechanic-simulator-2018,0,0,Epic,https://cdn1.epicgames.com/offer/226306adde104c9092247dcd4bfa1499/EGS_CarMechanicSimulator2018_RedDotGames_S2_1200x1600-f285924f9144353f57ac4631f0c689e6?resize=1&w=360&h=480&quality=medium,"Racing, Simulation",
Poppy Playtime - Chapter 4,20400,20400,https://store.epicgames.com/ko/p/poppy-playtime-chapter-1-poppy-playtime-chapter-4-10f118,0,0,Epic,https://cdn1.epicgames.com/spt-assets/465c0f6c95d04b1c86b280b4925fee2d/poppy-playtime-1g4f9.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Indie",
Total War: WARHAMMER III - Elspeth – Thrones of Decay,9000,6030,https://store.epicgames.com/ko/p/total-war-warhammer-3--elspeth-von-draken,-33,0,Epic,https://cdn1.epicgames.com/offer/dda64c2956b54f1ba3cd97f6aaee775f/EGS_TotalWarWARHAMMERIIIElspeth_CreativeAssembly_DLC_S2_1200x1600-6c17a0cf641c3b31741e1f17ee394885?resize=1&w=360&h=480&quality=medium,"Action, Strategy",
South Park™: The Stick of Truth™,33000,8250,https://store.epicgames.com/ko/p/south-park-the-stick-of-truth,-75,0,Epic,https://cdn1.epicgames.com/8f8bddb3ff464536984ce8e945cb5f8c/offer/SPRK_Store_Portrait_1200x1600-1200x1600-2207f4307a22a4fc55bd08ee807c674d.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure, RPG",
Melvor Idle,,,https://store.epicgames.com/ko/p/melvor-idle-b6a9b3,0,0,Epic,https://cdn1.epicgames.com/spt-assets/1caf32ecc37545b0ad7a3fb6293fef28/melvor-idle-opjy3.jpg?resize=1&w=360&h=480&quality=medium,"Adventure, Casual, Indie, RPG",
Frostpunk 2,47000,30550,https://store.epicgames.com/ko/p/frostpunk-2,-35,0,Epic,https://cdn1.epicgames.com/offer/32bc7c6aaecd40eeb5f58bb83dba1c05/EGS_Frostpunk2_11bitstudios_S2_1200x1600-8b452490754cb4a4fe1a983c533cfb5d?resize=1&w=360&h=480&quality=medium,"Simulation, Strategy",
Surviving Mars,4500,2250,https://store.epicgames.com/ko/p/surviving-mars--mars-lifestyle-radio,-50,0,Epic,https://cdn1.epicgames.com/salesEvent/salesEvent/EGS_SurvivingMarsMarsLifestyleRadio_Abstraction_DLC_S2_1200x1600-1f7a4cc0047371b9375c0261a5e7db0d?resize=1&w=360&h=480&quality=medium,"Simulation, Strategy",
The Escapists 2,21000,21000,https://store.epicgames.com/ko/p/the-escapists-2,0,0,Epic,https://cdn1.epicgames.com/115577f4ef1e4055aaf0da534fdfe81e/offer/egs-theescapists2-team17andmouldytoofstudios-s6-510x680-510x680-22e26fa7753b9b80df8d3ec01dee3e2f.jpg?resize=1&w=360&h=480&quality=medium,"Indie, Simulation, Strategy",
"Warhammer 40,000: Space Marine 2 - Dark Angels Chapter Pack",11800,11800,https://store.epicgames.com/ko/p/warhammer-40000-space-marine-2--dark-angels-chapter-pack,0,0,Epic,https://cdn1.epicgames.com/offer/f640a0c1648147fea7e81565b45a3003/EGS_SpaceMarine2DarkAngelsChapterPack_SaberInteractive_DLC_S2_1200x1600-5fa2c01bae457b9a1529ea3199afa841?resize=1&w=360&h=480&quality=medium,"Action, Adventure, RPG",19
RAGE 2,44500,8900,https://store.epicgames.com/ko/p/rage-2,-80,0,Epic,https://cdn1.epicgames.com/2736ab9fec9c4a93a7a2872ed5154d4b/offer/egs-rage2-idsoftware-s2-1200x1600-ee8fcbffe5b0-1200x1600-d692008156cef0c206454ef84c987499.jpg?resize=1&w=360&h=480&quality=medium,Action,
Kerbal Space Program: Breaking Ground Expansion,16000,8000,https://store.epicgames.com/ko/p/kerbal-space-program--breaking-ground-expansion,-50,0,Epic,https://cdn1.epicgames.com/offer/ca0530b485754032be50cb6f27be0c2c/EGS_KerbalSpaceProgramBreakingGroundExpansion_Squad_DLC_S2_1200x1600-7951b2c847fa6391e6aee1561f06e019?resize=1&w=360&h=480&quality=medium,"Indie, Simulation",ALL
Against the Storm,29900,14950,https://store.epicgames.com/ko/p/against-the-storm,-50,0,Epic,https://cdn1.epicgames.com/offer/93eeeab14a3d45b8bf5586a900137733/ko_1200x1600_Offer_Image_Portrait_w_logo_1200x1600-e5d1b982369afda9904109e5a154e890?resize=1&w=360&h=480&quality=medium,"Simulation, Strategy",
Elite Dangerous: Odyssey,16500,9900,https://store.epicgames.com/ko/p/elite-dangerous--odyssey,-40,0,Epic,https://cdn1.epicgames.com/3db17abfd650423f993291624b1b2ac1/offer/tall-1200x1600-bba05a724e82bc7fb2b2b2dc2224d83b.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",
Draw & Guess,,,https://store.epicgames.com/ko/p/draw-and-guess-cfd5fc,0,0,Epic,https://cdn1.epicgames.com/spt-assets/9294b1f0e32b4af68901089b5f4fd913/draw-and-guess-101le.jpg?resize=1&w=360&h=480&quality=medium,"Casual, Indie",
Total War: WARHAMMER III - Skulltaker – Omens of Destruction,9000,7200,https://store.epicgames.com/ko/p/total-war-warhammer-3--skulltaker,-20,0,Epic,https://cdn1.epicgames.com/offer/dda64c2956b54f1ba3cd97f6aaee775f/EGS_TotalWarWARHAMMERIIISkulltaker_CREATIVEASSEMBLY_DLC_S2_1200x1600-0e4028f6b73621d787fb0bf9ddedd47f?resize=1&w=360&h=480&quality=medium,"Action, Strategy",
