게임 이름,플랫폼 이름,이미지,원가,할인율,할인가,장르,연령 등급,유저 평점,유저 리뷰,사이트 URL
Wuchang: Fallen Feathers Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1745888967_simg.jpg,"\69,800",할인 없음,"\69,800",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005395
Killing Floor 3 Day one Edition,Steam,https://image.directg.net/upload/product/goods_1738742849_simg.jpg,"\42,000",5%,"\39,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005215
Bridge Constructor Studio,Steam,https://image.directg.net/upload/product/goods_1752721129_simg.jpg,"\13,500",27%,"\9,900",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005578
He is Coming,Steam,https://image.directg.net/upload/product/goods_1752113021_simg.jpg,"\14,900",36%,"\9,600",전략/시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005568
RoboCop: Rogue City - Unfinished Business,Steam,https://image.directg.net/upload/product/goods_1750730831_simg.jpg,"\32,000",7%,"\29,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005522
Two Point Museum: Fantasy Finds,Steam,https://image.directg.net/upload/product/goods_1751332732_simg.jpg,"\9,500",7%,"\8,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005543
Street Fighter 6 - Year 3 Character Pass,Steam,https://image.directg.net/upload/product/goods_1752626953_simg.jpg,"\36,800",14%,"\31,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005575
Street Fighter 6 - Year 3 Ultimate Pass,Steam,https://image.directg.net/upload/product/goods_1752627047_simg.jpg,"\58,800",15%,"\49,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005576
Destiny 2: The Edge of Fate,Steam,https://image.directg.net/upload/product/goods_1747618745_simg.jpg,"\44,500",6%,"\41,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005422
Destiny 2: Year of Prophecy,Steam,https://image.directg.net/upload/product/goods_1747619330_simg.jpg,"\88,900",7%,"\82,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005423
Destiny 2: Year of Prophecy Ultimate Edition,Steam,https://image.directg.net/upload/product/goods_1747619894_simg.jpg,"\109,900",7%,"\101,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005424
