게임 이름,플랫폼 이름,이미지,원가,할인율,할인가,장르,연령 등급,유저 평점,유저 리뷰,사이트 URL
CRYMACHINA Ultimate Edition (June 2024 Update),Steam,https://image.directg.net/upload/product/goods_1704786320_simg.jpg,"\105,600",9%,"\95,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004540
Insurgency: Sandstorm - Ultimate Edition,Steam,https://image.directg.net/upload/product/goods_1698374288_simg.jpg,"\79,800",할인 없음,"\79,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004432
Insurgency: Sandstorm - Year 1+2+3 Bundle,Steam,https://image.directg.net/upload/product/goods_1698374821_simg.jpg,"\68,100",할인 없음,"\68,100",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004433
Cities: Skylines II,Steam,https://image.directg.net/upload/product/goods_1686732165_simg.jpg,"\55,000",9%,"\49,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004212
Cities: Skylines II - Ultimate Edition,Steam,https://image.directg.net/upload/product/goods_1686733194_simg.jpg,"\99,000",11%,"\88,000",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004213
METAL GEAR SOLID: MASTER COLLECTION Vol. 1,Steam,https://image.directg.net/upload/product/goods_1697519199_simg.jpg,"\74,800",7%,"\69,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004418
ENDLESS Dungeon - Definitive Edition,Steam,https://image.directg.net/upload/product/goods_1751960775_simg.jpg,"\16,800",41%,"\9,900",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005567
Skull Island: Rise of Kong,Steam,https://image.directg.net/upload/product/goods_1697531502_simg.jpg,"\42,000",5%,"\39,800",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004419
Skull Island: Rise of Kong Colossal Edition,Steam,https://image.directg.net/upload/product/goods_1698049864_simg.jpg,"\52,600",5%,"\49,800",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004428
Wizard With A Gun,Steam,https://image.directg.net/upload/product/goods_1703037718_simg.jpg,"\27,000",4%,"\25,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004526
Sonic Superstars,Steam,https://image.directg.net/upload/product/goods_1693373710_simg.jpg,"\49,800",6%,"\46,800",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004334
Sonic Superstars Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1693374632_simg.jpg,"\64,800",8%,"\59,800",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004335
Star Trek: Infinite,Steam,https://image.directg.net/upload/product/goods_1697006849_simg.jpg,"\33,000",10%,"\29,800",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004405
Star Trek: Infinite Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1697007268_simg.jpg,"\44,000",10%,"\39,800",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004406
Hotel: A Resort Simulator,Steam,https://image.directg.net/upload/product/goods_1697080458_simg.jpg,"\21,500",8%,"\19,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004408
Hotel: A Resort Simulator Lake Edition,Steam,https://image.directg.net/upload/product/goods_1697080794_simg.jpg,"\34,100",13%,"\29,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004409
Tropico 6 - Going Viral,Steam,https://image.directg.net/upload/product/goods_1697092126_simg.jpg,"\17,700",16%,"\14,800",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004410
From Space - Mission Pack: Concrete Jungle,Steam,https://image.directg.net/upload/product/goods_1697158628_simg.jpg,"\5,500",9%,"\5,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004411
From Space - Mission Pack: Molten Iron,Steam,https://image.directg.net/upload/product/goods_1697158824_simg.jpg,"\5,500",9%,"\5,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004412
Hearts of Iron IV: Arms Against Tyranny,Steam,https://image.directg.net/upload/product/goods_1693388221_simg.jpg,"\22,000",10%,"\19,800",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004337
Total War: PHARAOH,Steam,https://image.directg.net/upload/product/goods_1721958301_simg.jpg,"\39,800",12%,"\35,000",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004169
River City: Rival Showdown,Steam,https://image.directg.net/upload/product/goods_1698210478_simg.jpg,"\39,800",10%,"\36,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004429
Livestream 2: Escape from Togaezuka Happy Place,Steam,https://image.directg.net/upload/product/goods_1701135166_simg.jpg,"\27,000",할인 없음,"\27,000",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004490
Bang-On Balls: Chronicles,Steam,https://image.directg.net/upload/product/goods_1697009793_simg.jpg,"\27,000",7%,"\25,000",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004407
Old World - Pharaohs of the Nile,Steam,https://image.directg.net/upload/product/goods_1729474000_simg.jpg,"\9,900",할인 없음,"\9,900",전략/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004999
Disgaea 7: Vows of the Virtueless,Steam,https://image.directg.net/upload/product/goods_1704782380_simg.jpg,"\54,800",5%,"\52,000",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004535
Disgaea 7: Vows of the Virtueless Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1704783116_simg.jpg,"\72,000",6%,"\68,000",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004537
Disgaea 7: Vows of the Virtueless Ultimate Edition,Steam,https://image.directg.net/upload/product/goods_1704783625_simg.jpg,"\118,000",8%,"\109,000",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004538
Silent Hope,Steam,https://image.directg.net/upload/product/goods_1713412918_simg.jpg,"\54,800",9%,"\49,800",롤플레잉,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004695
The Lamplighters League,Steam,https://image.directg.net/upload/product/goods_1688375545_simg.jpg,"\55,000",9%,"\49,800",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004240
The Lamplighters League - Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1688375921_simg.jpg,"\72,000",8%,"\66,000",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004241
High On Life + DLC Bundle,Steam,https://image.directg.net/upload/product/goods_1718592570_simg.jpg,"\38,600",2%,"\38,000",슈팅/FPS,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004782
Spirit of the Island - Adventureland,Steam,https://image.directg.net/upload/product/goods_1717051857_simg.jpg,"\3,500",17%,"\2,900",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004753
Overpass 2,Steam,https://image.directg.net/upload/product/goods_1695357926_simg.jpg,"\42,000",5%,"\39,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004373
Overpass 2 Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1695358423_simg.jpg,"\53,000",6%,"\49,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004374
Overpass 2 - Polaris vehicles pack,Steam,https://image.directg.net/upload/product/goods_1696389680_simg.jpg,"\9,900",9%,"\9,000",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004385
Overpass 2 - Career Starter Pack,Steam,https://image.directg.net/upload/product/goods_1696389835_simg.jpg,"\3,400",12%,"\3,000",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004386
Overpass 2 - Ford Play Rockbouncer,Steam,https://image.directg.net/upload/product/goods_1696390011_simg.jpg,"\3,400",12%,"\3,000",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004387
Railway Empire 2,Steam,https://image.directg.net/upload/product/goods_1686817609_simg.jpg,"\59,000",할인 없음,"\59,000",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004215
Railway Empire 2 - Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1686820956_simg.jpg,"\70,800",할인 없음,"\70,800",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004216
Super Animal Royale Season 9 Starter Pack,Steam,https://image.directg.net/upload/product/goods_1700189765_simg.jpg,"\5,800",5%,"\5,500",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004479
LunarLux,Steam,https://image.directg.net/upload/product/goods_1695606654_simg.jpg,"\21,500",8%,"\19,800",롤플레잉,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004375
Avatar: The Last Airbender - Quest for Balance,Steam,https://image.directg.net/upload/product/goods_1695198516_simg.jpg,"\53,000",17%,"\44,000",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004368
RESIDENT EVIL 4 / BIOHAZARD RE:4 Separate Ways,Steam,https://image.directg.net/upload/product/goods_1695269475_simg.jpg,"\9,800",8%,"\9,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004369
Renfield: Bring Your Own Blood,Steam,https://image.directg.net/upload/product/goods_1729069810_simg.jpg,"\5,600",13%,"\4,900",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004991
Party Animals,Steam,https://image.directg.net/upload/product/goods_1722327049_simg.jpg,"\25,900",할인 없음,"\25,900",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004866
Party Animals Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1722403412_simg.jpg,"\38,400",할인 없음,"\38,400",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004870
Lies of P,Steam,https://image.directg.net/upload/product/goods_1689059860_simg.jpg,"\64,800",할인 없음,"\64,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004080
Lies of P: Prince of Krat Cosmetics Pack,Steam,https://image.directg.net/upload/product/goods_1750298705_simg.jpg,"\10,000",할인 없음,"\10,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005500
Ad Infinitum,Steam,https://image.directg.net/upload/product/goods_1693285702_simg.jpg,"\37,500",7%,"\35,000",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004332
Ad Infinitum Supporter Edition,Steam,https://image.directg.net/upload/product/goods_1693285988_simg.jpg,"\42,000",7%,"\39,000",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004333
AK-xolotl: Together,Steam,https://image.directg.net/upload/product/goods_1736150634_simg.jpg,"\20,500",할인 없음,"\20,500",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004610
SUPER BOMBERMAN R 2,Steam,https://image.directg.net/upload/product/goods_1694587226_simg.jpg,"\61,000",10%,"\55,000",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004359
Offroad Truck Simulator: Heavy Duty Challenge,Steam,https://image.directg.net/upload/product/goods_1710815812_simg.jpg,"\32,000",7%,"\29,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004640
Gunbrella,Steam,https://image.directg.net/upload/product/goods_1729567070_simg.jpg,"\16,500",4%,"\15,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005004
Tavernacle!,Steam,https://image.directg.net/upload/product/goods_1694410950_simg.jpg,"\12,600",4%,"\12,100",전략/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004356
Eternights,Steam,https://image.directg.net/upload/product/goods_1697442587_simg.jpg,"\33,800",9%,"\30,800",액션/시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004416
Eternights Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1697443003_simg.jpg,"\43,800",9%,"\39,800",액션/시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004417
HUMANKIND - Cultures of Oceania Pack,Steam,https://image.directg.net/upload/product/goods_1694424985_simg.jpg,"\9,500",5%,"\9,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004358
NBA 2K24 Kobe Bryant Edition,Steam,https://image.directg.net/upload/product/goods_1691481812_simg.jpg,"\67,800",15%,"\57,500",스포츠,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004291
NBA 2K24 Black Mamba Edition,Steam,https://image.directg.net/upload/product/goods_1691482603_simg.jpg,"\114,800",15%,"\97,500",스포츠,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004292
Raiden III x MIKADO MANIAX,Steam,https://image.directg.net/upload/product/goods_1686536036_simg.jpg,"\32,000",할인 없음,"\32,000",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004200
DJMAX RESPECT V - MapleStory PACK,Steam,https://image.directg.net/upload/product/goods_1694137787_simg.jpg,"\17,800",81%,"\3,300",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004355
Melvor Idle: Atlas of Discovery,Steam,https://image.directg.net/upload/product/goods_1717382903_simg.jpg,"\5,600",11%,"\5,000",롤플레잉,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004761
Chants of Sennaar,Steam,https://image.directg.net/upload/product/goods_1693908112_simg.jpg,"\22,800",할인 없음,"\22,800",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004350
Rune Factory 3 Special,Steam,https://image.directg.net/upload/product/goods_1713413026_simg.jpg,"\54,800",9%,"\49,800",롤플레잉,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004694
MEGA MAN X DiVE Offline,Steam,https://image.directg.net/upload/product/goods_1693377689_simg.jpg,"\39,200",14%,"\33,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004336
Trine 5: A Clockwork Conspiracy,Steam,https://image.directg.net/upload/product/goods_1691041794_simg.jpg,"\32,000",할인 없음,"\32,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004285
Total War: WARHAMMER III - Shadows of Change,Steam,https://image.directg.net/upload/product/goods_1691630567_simg.jpg,"\25,000",6%,"\23,500",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004295
Teenage Mutant Ninja Turtles: Shredder's Revenge - Dimension Shellshock,Steam,https://image.directg.net/upload/product/goods_1692174390_simg.jpg,"\8,800",10%,"\7,900",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004314
The Case of the Golden Idol,Steam,https://image.directg.net/upload/product/goods_1710222474_simg.jpg,"\20,500",할인 없음,"\20,500",퍼즐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004613
The Case of the Golden Idol : Complete Edition,Steam,https://image.directg.net/upload/product/goods_1710223010_simg.jpg,"\33,400",할인 없음,"\33,400",퍼즐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004614
Daymare: 1994 Sandcastle,Steam,https://image.directg.net/upload/product/goods_1705907821_simg.jpg,"\32,000",7%,"\29,800",슈팅/FPS,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004554
Dead by Daylight - Alien Chapter Pack,Steam,https://image.directg.net/upload/product/goods_1753254928_simg.jpg,"\12,500",50%,"\6,200",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005587
Symphony of War: The Nephilim Saga - Legends,Steam,https://image.directg.net/upload/product/goods_1692926068_simg.jpg,"\10,500",6%,"\9,900",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004325
Victoria 3: Dawn of Wonder,Steam,https://image.directg.net/upload/product/goods_1693201930_simg.jpg,"\5,600",11%,"\5,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004329
Under The Waves,Steam,https://image.directg.net/upload/product/goods_1693990611_simg.jpg,"\32,800",9%,"\29,800",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004352
Love Too Easily,Steam,https://image.directg.net/upload/product/goods_1692860281_simg.jpg,"\24,900",할인 없음,"\24,900",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004324
Blasphemous 2,Steam,https://image.directg.net/upload/product/goods_1700457224_simg.jpg,"\34,800",5%,"\33,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004482
"Northgard - Kernev, Clan of the Stoat",Steam,https://image.directg.net/upload/product/goods_1692673274_simg.jpg,"\5,600",11%,"\5,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004319
GUILTY GEAR -STRIVE- Season Pass 3,Steam,https://image.directg.net/upload/product/goods_1692865329_simg.jpg,가격 정보 없음,할인 없음,가격 정보 없음,액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004323
Saints Row Criminal Customs Edition,Steam,https://image.directg.net/upload/product/goods_1696992624_simg.jpg,"\35,000",15%,"\29,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004403
Crusader Kings III: Wards & Wardens,Steam,https://image.directg.net/upload/product/goods_1692153871_simg.jpg,"\5,600",11%,"\5,000",전략,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004313
WrestleQuest,Steam,https://image.directg.net/upload/product/goods_1729069464_simg.jpg,"\32,000",7%,"\29,800",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004990
Shadow Gambit: The Cursed Crew,Steam,https://image.directg.net/upload/product/goods_1736407463_simg.jpg,"\39,900",할인 없음,"\39,900",전략/시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005161
Shadow Gambit: The Cursed Crew Complete Edition,Steam,https://image.directg.net/upload/product/goods_1736408157_simg.jpg,"\59,100",할인 없음,"\59,100",전략/시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005164
The Cosmic Wheel Sisterhood,Steam,https://image.directg.net/upload/product/goods_1691373981_simg.jpg,"\19,500",5%,"\18,500",어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004288
Two Point Campus: Medical School,Steam,https://image.directg.net/upload/product/goods_1691376673_simg.jpg,"\12,800",14%,"\11,000",시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004289
Gord - Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1692586763_simg.jpg,"\45,400",5%,"\43,000",시뮬레이션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004316
Hello Engineer,Steam,https://image.directg.net/upload/product/goods_1692611523_simg.jpg,"\16,500",10%,"\14,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004318
Moving Out 2,Steam,https://image.directg.net/upload/product/goods_1691629607_simg.jpg,"\34,800",5%,"\33,000",캐주얼,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004294
Moving Out 2 - Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1692149215_simg.jpg,"\45,600",6%,"\43,000",캐주얼,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004311
Across The Obelisk: Sands of Ulminin,Steam,https://image.directg.net/upload/product/goods_1715582464_simg.jpg,"\22,000",10%,"\19,800",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004725
Hammerwatch Anniversary Edition,Steam,https://image.directg.net/upload/product/goods_1729757550_simg.jpg,"\25,400",7%,"\23,500",액션/RPG,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005007
Hammerwatch II,Steam,https://image.directg.net/upload/product/goods_1729758597_simg.jpg,"\32,100",7%,"\29,800",액션/RPG,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005008
Lifeless Moon,Steam,https://image.directg.net/upload/product/goods_1741310307_simg.jpg,"\17,000",7%,"\15,800",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005298
Jurassic World Evolution 2: Prehistoric Marine Species Pack,Steam,https://image.directg.net/upload/product/goods_1691456831_simg.jpg,"\8,500",6%,"\8,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004290
Atlas Fallen: Reign Of Sand,Steam,https://image.directg.net/upload/product/goods_1723110530_simg.jpg,"\44,800",할인 없음,"\44,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004068
Gord,Steam,https://image.directg.net/upload/product/goods_1692586327_simg.jpg,"\39,800",5%,"\38,000",시뮬레이션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004315
F1 Manager 2023,Steam,https://image.directg.net/upload/product/goods_1686207435_simg.jpg,"\56,000",8%,"\51,800",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004193
F1 Manager 2023 Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1686208106_simg.jpg,"\68,000",7%,"\63,000",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004194
Arcadian Atlas,Steam,https://image.directg.net/upload/product/goods_1741310845_simg.jpg,"\27,000",8%,"\24,800",전략/시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005299
Double Dragon Gaiden: Rise Of The Dragons,Steam,https://image.directg.net/upload/product/goods_1690164018_simg.jpg,"\32,100",7%,"\29,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004274
Let’s School - Super Headmaster Edition,Steam,https://image.directg.net/upload/product/goods_1721696795_simg.jpg,"\31,800",12%,"\28,000",전략/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004850
Let’s School,Steam,https://image.directg.net/upload/product/goods_1709530508_simg.jpg,"\24,500",10%,"\22,000",전략/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004600
Ratchet & Clank: Rift Apart,Steam,https://image.directg.net/upload/product/goods_1686549118_simg.jpg,"\62,800",5%,"\59,800",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004202
Dead by Daylight - Nicolas Cage Chapter Pack,Steam,https://image.directg.net/upload/product/goods_1753325674_simg.jpg,"\10,500",50%,"\5,200",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005601
Remnant II,Steam,https://image.directg.net/upload/product/goods_1686274730_simg.jpg,"\53,000",할인 없음,"\53,000",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004195
Remnant II - Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1686275129_simg.jpg,"\63,600",할인 없음,"\63,600",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004196
Remnant II - Ultimate Edition,Steam,https://image.directg.net/upload/product/goods_1686275527_simg.jpg,"\74,200",할인 없음,"\74,200",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004197
Punch Club 2: Fast Forward,Steam,https://image.directg.net/upload/product/goods_1690858216_simg.jpg,"\21,500",8%,"\19,800",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004278
Unholy,Steam,https://image.directg.net/upload/product/goods_1718782493_simg.jpg,"\32,000",할인 없음,"\32,000",어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004797
"YEAH! YOU WANT ""THOSE GAMES,"" RIGHT? SO HERE YOU GO! NOW, LET'S SEE YOU CLEAR THEM!",Steam,https://image.directg.net/upload/product/goods_1706607360_simg.jpg,"\11,000",할인 없음,"\11,000",캐주얼,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004561
Madshot,Steam,https://image.directg.net/upload/product/goods_1723171296_simg.jpg,"\22,000",할인 없음,"\22,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004884
Xenonauts 2,Steam,https://image.directg.net/upload/product/goods_1688460585_simg.jpg,"\39,900",4%,"\38,500",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004248
Exoprimal,Steam,https://image.directg.net/upload/product/goods_1681370762_simg.jpg,"\76,400",11%,"\67,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004120
Exoprimal Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1681372226_simg.jpg,"\89,100",12%,"\78,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004121
Super Animal Royale Season 8 Starter Pack,Steam,https://image.directg.net/upload/product/goods_1689219305_simg.jpg,"\5,800",5%,"\5,500",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004265
GYLT,Steam,https://image.directg.net/upload/product/goods_1688459536_simg.jpg,"\27,000",8%,"\24,800",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004247
Ghost Trick,Steam,https://image.directg.net/upload/product/goods_1686799791_simg.jpg,"\34,800",14%,"\29,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004214
AEW: Fight Forever,Steam,https://image.directg.net/upload/product/goods_1688002560_simg.jpg,"\42,000",할인 없음,"\42,000",스포츠,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004237
AEW: Fight Forever Elite Edition,Steam,https://image.directg.net/upload/product/goods_1688002874_simg.jpg,"\63,000",할인 없음,"\63,000",스포츠,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004238
Dave The Diver,Steam,https://image.directg.net/upload/product/goods_1747624195_simg.jpg,"\24,000",10%,"\21,500",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005425
Dave The Diver Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1747624367_simg.jpg,"\30,600",10%,"\27,500",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005426
STORY OF SEASONS: A Wonderful Life,Steam,https://image.directg.net/upload/product/goods_1713413139_simg.jpg,"\44,800",11%,"\39,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004693
SLUDGE LIFE 2,Steam,https://image.directg.net/upload/product/goods_1690790019_simg.jpg,"\16,500",4%,"\15,800",어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004277
Little Friends: Puppy Island,Steam,https://image.directg.net/upload/product/goods_1687400402_simg.jpg,"\42,000",5%,"\39,800",캐주얼,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004229
Sonic Origins Plus,Steam,https://image.directg.net/upload/product/goods_1713850926_simg.jpg,"\44,800",8%,"\41,000",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004701
The Bookwalker: Thief of Tales,Steam,https://image.directg.net/upload/product/goods_1687771845_simg.jpg,"\16,500",79%,"\3,500",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004235
VINE,Steam,https://image.directg.net/upload/product/goods_1691716966_simg.jpg,"\15,000",5%,"\14,300",퍼즐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004308
Europa Universalis IV: China History Lessons,Steam,https://image.directg.net/upload/product/goods_1689904636_simg.jpg,"\5,600",11%,"\5,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004271
Europa Universalis IV: Japan History Lessons,Steam,https://image.directg.net/upload/product/goods_1689904744_simg.jpg,"\5,600",11%,"\5,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004272
Europa Universalis IV: History Lessons Bundle,Steam,https://image.directg.net/upload/product/goods_1689904941_simg.jpg,"\10,000",8%,"\9,200",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004273
Aliens: Dark Descent,Steam,https://image.directg.net/upload/product/goods_1684461650_simg.jpg,"\44,800",할인 없음,"\44,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004164
Age of Wonders 4: Dragon Dawn,Steam,https://image.directg.net/upload/product/goods_1686538845_simg.jpg,"\11,000",10%,"\9,900",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004201
