게임 이름,할인 시작일,플랫폼 이름,할인율,원가,할인가
elden-ring-nightreign,2025-05-31,GameBillet,13%,55619,48470
elden-ring-nightreign,2025-05-30,GameBillet,10%,55619,50000
elden-ring-nightreign,2025-05-28,GameBillet,13%,55619,48470
elden-ring-nightreign,2025-05-19,GameBillet,15%,55619,47218
elden-ring-nightreign,2025-03-08,2game,0%,49800,49800
elden-ring-nightreign,2025-02-27,Humble Store,0%,55619,55619
elden-ring-nightreign,2025-02-14,GameBillet,13%,55619,48470
elden-ring-nightreign,2025-02-14,GameBillet,0%,55619,55619
elden-ring-nightreign,2025-02-12,Steam,0%,49800,49800
