게임 이름,할인 시작일,플랫폼 이름,할인 지속시간,할인율,원가,할인가,이전과 비교한 할인가격
grounded-2,2025-07-30,Steam,,0%,34800,34800,NoData
grounded-2,2025-07-30,Microsoft Store,,0%,34800,34800,NoData
