할인 시작 날짜,플랫폼 이름,할인 지속시간,할인율,원가,할인가,이전과 비교한 할인가격
2025-07-11,Steam,,0%,2300,2300,1150.0
2025-06-28,Steam,12 days,50%,2300,1150,-1150.0
2025-03-16,Steam,3 months,0%,2300,2300,920.0
2025-03-02,Steam,14 days,40%,2300,1380,NoData
