게임 이름,원가,할인가,사이트 URL,할인율,유저 평점,유저 리뷰,플랫폼 이름,이미지,장르,연령 등급
Steredenn,"\14,500","\13,200",https://directg.net/game/game_page.html?product_code=10001445,9%,,,Steam,https://image.directg.net/upload/product/goods_1473396375_simg.jpg,액션,전체 이용가
The Escapists + The Escapists: The Walking Dead Deluxe Edition,"\27,000","\25,800",https://directg.net/game/game_page.html?product_code=50003582,4%,,,Steam,https://image.directg.net/upload/product/goods_1659928833_simg.jpg,전략,12세 이용가
Euro Truck Simulator 2 - Cabin Accessories,"\4,800","\4,800",https://directg.net/game/game_page.html?product_code=50003615,0%,,,Steam,https://image.directg.net/upload/product/goods_1660875251_simg.jpg,시뮬레이션,전체 이용가
Arcana Heart 3 LOVE MAX!!!!!,"\32,000","\29,800",https://directg.net/game/game_page.html?product_code=10000865,7%,,,Steam,https://image.directg.net/upload/product/goods_1477539484_simg.jpg,액션,12세 이용가
Grand Ages: Medieval,"\23,600","\19,800",https://directg.net/game/game_page.html?product_code=10000859,16%,,,Steam,https://image.directg.net/upload/product/goods_1473398134_simg.jpg,전략,12세 이용가
Cities: Skylines - After Dark,"\17,000","\15,400",https://directg.net/game/game_page.html?product_code=10000869,9%,,,Steam,https://image.directg.net/upload/product/goods_1472709917_simg.jpg,시뮬레이션,전체 이용가
Magicka 2: Three Cardinals Robe Pack,"\5,600","\5,000",https://directg.net/game/game_page.html?product_code=10000860,11%,,,Steam,https://image.directg.net/upload/product/goods_1600692177_simg.jpg,액션,15세 이용가
Dungeons 2 - A Song of Sand and Fire,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10001212,17%,,,Steam,https://image.directg.net/upload/product/goods_1477546785_simg.jpg,전략,19세 이용가
Victor Vran: Original Soundtrack and Artbook,"\6,900","\6,900",https://directg.net/game/game_page.html?product_code=10001219,0%,,,Steam,https://image.directg.net/upload/product/goods_1473396172_simg.jpg,롤플레잉,12세 이용가
Crookz - The Big Heist,"\11,800","\9,900",https://directg.net/game/game_page.html?product_code=10000331,16%,,,Steam,https://image.directg.net/upload/product/goods_1473397378_simg.jpg,시뮬레이션,15세 이용가
Mega Man Legacy Collection,"\14,000","\12,500",https://directg.net/game/game_page.html?product_code=10000589,11%,,,Steam,https://image.directg.net/upload/product/goods_1477574793_simg.jpg,액션,전체 이용가
Dungeons 2 - A Chance of Dragons,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10001211,17%,,,Steam,https://image.directg.net/upload/product/goods_1477546816_simg.jpg,전략,19세 이용가
Victor Vran,"\19,900","\19,900",https://directg.net/game/game_page.html?product_code=10001183,0%,,,Steam,https://image.directg.net/upload/product/goods_1473396147_simg.jpg,롤플레잉,12세 이용가
Tropico 5 - T-Day,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10001191,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549537_simg.jpg,전략,12세 이용가
Crusader Kings II: Horse Lords Content Pack,"\7,000","\6,200",https://directg.net/game/game_page.html?product_code=10001185,11%,,,Steam,https://image.directg.net/upload/product/goods_1476151044_simg.jpg,전략,12세 이용가
Crusader Kings II: Orchestral House Lords,"\3,500","\3,200",https://directg.net/game/game_page.html?product_code=10001186,9%,,,Steam,https://image.directg.net/upload/product/goods_1477545007_simg.jpg,전략,12세 이용가
Crusader Kings II: Horse Lords,"\17,000","\15,400",https://directg.net/game/game_page.html?product_code=10001184,9%,,,Steam,https://image.directg.net/upload/product/goods_1476150972_simg.jpg,전략,12세 이용가
Battle Fantasia -Revised Edition-,"\16,000","\15,000",https://directg.net/game/game_page.html?product_code=10001176,6%,,,Steam,https://image.directg.net/upload/product/goods_1477028352_simg.jpg,액션,12세 이용가
The Book of Unwritten Tales 2 Almanac Edition,"\35,000","\35,000",https://directg.net/game/game_page.html?product_code=10001178,0%,,,Steam,https://image.directg.net/upload/product/goods_1477574843_simg.jpg,어드벤쳐,12세 이용가
The Book of Unwritten Tales 2,"\30,000","\30,000",https://directg.net/game/game_page.html?product_code=10001114,0%,,,Steam,https://image.directg.net/upload/product/goods_1477574807_simg.jpg,어드벤쳐,12세 이용가
The Book of Unwritten Tales 2 Almanac Edition Extras,"\10,000","\10,000",https://directg.net/game/game_page.html?product_code=10001177,0%,,,Steam,https://image.directg.net/upload/product/goods_1477574825_simg.jpg,어드벤쳐,12세 이용가
Tropico 5 - The Supercomputer,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10001174,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549559_simg.jpg,전략,12세 이용가
