게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,유저댓글,플랫폼 이름,이미지 URL,장르,연령 등급
Killing Floor 3,정보 없음,정보 없음,https://store.steampowered.com/app/1430190/Killing_Floor_3/,0%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1430190/capsule_sm_120.jpg?t=1753376989,정보 없음,정보 없음
Detroit: Become Human,"₩ 43,800","₩ 21,550",https://store.steampowered.com/app/1222140/Detroit_Become_Human/,50%,4254,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222140/capsule_sm_120.jpg?t=1667468479,"Action, Adventure",정보 없음
It Takes Two,"₩ 44,000","₩ 20,790",https://store.steampowered.com/app/1426210/It_Takes_Two/,52%,3341,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1426210/capsule_sm_120.jpg?t=1749142249,"Action, Adventure",정보 없음
Tom Clancy's Rainbow Six® Siege X,Free,Free,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege_X/,0%,14629,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/359550/429275e1f06a9697892acdc57ae0a9d06bafe9f1/capsule_sm_120.jpg?t=1753192754,"Action, Free To Play",정보 없음
Rust,"₩ 42,000","₩ 48,000",https://store.steampowered.com/app/252490/Rust/,-14%,10265,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/252490/21aac0b6e20e1ba12f635e7deb730e32a51afbd5/capsule_sm_120.jpg?t=1747389753,"Action, Adventure, Indie, Massively Multiplayer, RPG",정보 없음
Abiotic Factor,"₩ 37,500","₩ 8,900",https://store.steampowered.com/app/427410/Abiotic_Factor/,76%,2028,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/427410/792c28690469ffeea796dcbdc3c92c792150941f/capsule_sm_120.jpg?t=1753313427,"Action, Adventure, RPG, Simulation",정보 없음
R.E.P.O.,"₩ 11,000","₩ 11,000",https://store.steampowered.com/app/3241660/REPO/,0%,12711,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3241660/28c1bb423e9af8646047e9e881c3a0ac121647f6/capsule_sm_120.jpg?t=1750949552,"Action, Early Access",정보 없음
Grand Theft Auto V Enhanced,"₩ 36,790","₩ 55,000",https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced/,-49%,8183,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3240220/a318bd9affe8eee32984b18794b273c256e9b2d6/capsule_sm_120.jpg?t=1752701585,"Action, Adventure, Racing",정보 없음
Baldur's Gate 3,"₩ 66,000","₩ 11,000",https://store.steampowered.com/app/1086940/Baldurs_Gate_3/,83%,6512,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1086940/3dd81008e9c385caf68152450c22353f6a8abec9/capsule_sm_120.jpg?t=1748346026,"Adventure, RPG, Strategy",정보 없음
Infinity Nikki,Free,Free,https://store.steampowered.com/app/3164330/Infinity_Nikki/,0%,360,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3164330/dbdc42934a3ad6e18496837fd7b2f4c8a616fedd/capsule_sm_120.jpg?t=1753844848,"Action, Adventure, Casual, RPG, Simulation, Free To Play",정보 없음
Riders Republic,"₩ 45,500","₩ 52,270",https://store.steampowered.com/app/2290180/Riders_Republic/,-14%,2295,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2290180/capsule_sm_120.jpg?t=1750951499,"Massively Multiplayer, Sports",정보 없음
Stellar Blade™,정보 없음,정보 없음,https://store.steampowered.com/app/3489700/Stellar_Blade/,0%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3489700/75914656cad450124a18fef914c5a5f4866ffb67/capsule_sm_120.jpg?t=1751868063,정보 없음,정보 없음
Cyberpunk 2077,정보 없음,정보 없음,https://store.steampowered.com/app/1091500/Cyberpunk_2077/,0%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1091500/56bc5c6d8d285e9a470a76b7c4d84f087686a556/capsule_sm_120_alt_assets_8.jpg?t=1753355628,정보 없음,정보 없음
ELDEN RING,"₩ 64,800","₩ 109,600",https://store.steampowered.com/app/1245620/ELDEN_RING/,-69%,8684,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1245620/capsule_sm_120.jpg?t=1748630546,"Action, RPG",정보 없음
F1® 25,"₩ 66,000","₩ 33,000",https://store.steampowered.com/app/3059520/F1_25/,50%,1547,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3059520/e5a63913fdbb2b641e64fddee542ab4c946b21cd/capsule_sm_120.jpg?t=1753372584,"Racing, Simulation, Sports",정보 없음
It Takes Two Friend's Pass,정보 없음,정보 없음,https://store.steampowered.com/app/2995920/It_Takes_Two_Friends_Pass/,0%,3341,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2995920/capsule_sm_120.jpg?t=1733241802,"Action, Adventure, Indie",정보 없음
