이름,링크,이미지,할인률,할인가,정가,DRM
Dungeons Gold Edition,https://www.greenmangaming.com/games/dungeons-gold-edition-pc/,https://images.greenmangaming.com/fd92d473c3f64084984e495e17480920/930ceead1ad74154a8a0d87b4098b0cd.jpg,-90%,"₩2,400","₩23,600",Steam
Nickelodeon Kart Racers 3: Slime Speedway,https://www.greenmangaming.com/games/nickelodeon-kart-racers-3-slime-speedway-pc/,https://images.greenmangaming.com/531ce68d857d4f55bf4c0f7fa9e6dbfa/cc4523689c854c7f98e80a25bce11b78.jpg,-90%,"₩5,100","₩51,000",Steam
Valley,https://www.greenmangaming.com/games/valley-pc/,https://images.greenmangaming.com/9e1f16df580146ce99029eae56a7e4f2/46d76b77c04747efad3b380386b1600a.jpg,-88%,"₩1,900","₩15,500",Steam
Shift Happens,https://www.greenmangaming.com/games/shift-happens/,https://images.greenmangaming.com/fd69e693bbfb403c8991bb913166b76e/06ae8b305ddf4106812fdc9838b18069.jpg,-90%,"₩1,800","₩18,000",Steam
MotoRacer4: Deluxe Edition,https://www.greenmangaming.com/games/motoracer4-deluxe-edition-pc/,https://images.greenmangaming.com/e9d5d815f611439897854716e664f1c8/2f924f6bb76d48668d58261e1d76a01a.jpg,-90%,"₩3,100","₩31,000",Steam
Glitchpunk,https://www.greenmangaming.com/games/glitchpunk-pc/,https://images.greenmangaming.com/e3bf5b0e9d6b462cb60ee82dece743e7/0697a88ad38c4eca8173f2d1fb9ff67a.jpg,-90%,"₩2,300","₩23,000",Steam
Hayfever,https://www.greenmangaming.com/games/hayfever-pc/,https://images.greenmangaming.com/126e31d92d1b440784e0a09fcc3fc6fc/3e9ab319517649aeade41eea07d4a409.jpg,-90%,"₩1,600","₩15,500",Steam
The Walking Vegetables,https://www.greenmangaming.com/games/the-walking-vegetables-pc/,https://images.greenmangaming.com/f847490b4c734b998cbcc19f14567758/151c1520c89c408bb1238ce8ba758a83.jpg,-90%,"₩1,100","₩10,500",Steam
ATV Drift & Tricks,https://www.greenmangaming.com/games/atv-drift-tricks-pc/,https://images.greenmangaming.com/97f54025cc8f4360b7534b6d816422f3/36c3c639b11d49d293867b62b2d664c6.jpg,-89%,"₩1,100","₩10,200",Steam
Men of War: Vietnam Special Edition,https://www.greenmangaming.com/games/men-of-war-vietnam-special-edition/,https://images.greenmangaming.com/33b7485a3cd846f1991463cad009bd5f/dd9d4393f03e4c6b8cbcb2bf3fb2f9ba.jpg,-90%,"₩1,000","₩9,900",Steam
Renoir,https://www.greenmangaming.com/games/renoir/,https://images.greenmangaming.com/2dd21697e6204928959507dc74c8f6ce/6b282054024148e6b1ebdeaa5b24dd75.jpg,-90%,"₩1,100","₩11,000",Steam
Journey of a Roach,https://www.greenmangaming.com/games/journey-of-a-roach/,https://images.greenmangaming.com/d041ad2656a44172949fbbf7275f2101/0cb9b6d95d9d4e8ab5dd3e85c804137e.jpg,-90%,₩800,"₩7,800",Steam
Theatre of War Collection,https://www.greenmangaming.com/games/theatre-of-war-collection/,https://images.greenmangaming.com/aeb350abf0784d19bd71eff31d17903c/d5cd4014c092415e8806c13590346293.jpg,-90%,"₩1,700","₩16,500",Steam
Murder Mystery Machine,https://www.greenmangaming.com/games/murder-mystery-machine-pc/,https://images.greenmangaming.com/bc8289203e684019929f9acdc7b7f871/93e01b41c6844332a55c38e83909aaa5.jpg,-90%,"₩2,100","₩20,500",Steam
Drink More Glurp,https://www.greenmangaming.com/games/drink-more-glurp-pc/,https://images.greenmangaming.com/63e4eee0eabe413aa9edbab854231905/1fd8077cedc049e38a761fe01642d20f.jpg,-90%,"₩1,100","₩11,000",Steam
Zanzarah - The Hidden Portal,https://www.greenmangaming.com/games/zanzarah-the-hidden-portal/,https://images.greenmangaming.com/e240309936f0439db9bd963329396754/e013339d779d4742887d96442d224d7f.jpg,-90%,₩900,"₩8,900",Steam
Randal's Monday,https://www.greenmangaming.com/games/randals-monday/,https://images.greenmangaming.com/f4d0ad56e52d4087b32aa5cd1cd0454d/ed9b3fb1c46a425ba6f3f705ace85029.jpg,-90%,"₩2,100","₩21,000",Steam
A New Beginning: Final Cut,https://www.greenmangaming.com/games/a-new-beginning-final-cut/,https://images.greenmangaming.com/91b8881d43244815bb06b299b6b82b0e/178d5aa70a5b439591e0cf17083b243a.jpg,-90%,"₩1,100","₩11,000",Steam
MotoRacer4,https://www.greenmangaming.com/games/motoracer4-pc/,https://images.greenmangaming.com/1fd5405ac4374740b16f1e98b6daee56/e825a5d45c364cc1b9b33917fbd1ab37.jpg,-90%,"₩1,600","₩15,500",Steam
Shooting Stars,https://www.greenmangaming.com/games/shooting-stars/,https://images.greenmangaming.com/c2e2349186e6491f83e4a67d6515f25e/1bb023df78fc43fca90b7f9a530a5064.jpg,-89%,₩600,"₩5,600",Steam
Flashback,https://www.greenmangaming.com/games/flashback-pc/,https://images.greenmangaming.com/e006b89dd63946fba86d4048cf6cfcb2/9c2fe35ced8a422e981fbd91c5508087.jpg,-90%,"₩1,100","₩10,500",Steam
When Ski Lifts Go Wrong,https://www.greenmangaming.com/games/when-ski-lifts-go-wrong-pc/,https://images.greenmangaming.com/81f0a148594d467585e26c06e784e56d/d48979119fe148efb0963845f6f35a94.jpg,-91%,"₩1,400","₩15,500",Steam
Holy Potatoes! A Spy Story?!,https://www.greenmangaming.com/games/holy-potatoes-a-spy-story-pc/,https://images.greenmangaming.com/22f47f286f644478b68ca857e47a52a1/793a7aea6fff4f44ad53973bd5618949.jpg,-90%,"₩1,100","₩11,000",Steam
Agatha Christie: The ABC Murders,https://www.greenmangaming.com/games/agatha-christie-the-abc-murders-pc/,https://images.greenmangaming.com/012be1d098fe49619f8efd941e2885aa/c8ffba3e28c14203a10970309c775746.jpg,-90%,"₩1,600","₩16,000",Steam
The Daedalic Armageddon Bundle,https://www.greenmangaming.com/games/the-daedalic-armageddon-bundle/,https://images.greenmangaming.com/62449afc971d4992a1a2de14fee087d5/4f081bbe7dcc4029b6990c30a4fab1af.jpg,-90%,"₩10,900","₩109,000",Steam
The Serpent Rogue,https://www.greenmangaming.com/games/the-serpent-rogue-pc/,https://images.greenmangaming.com/82ae6db1e58a45d6acbd0f6da81aea2a/64f99b98fe0d4f1d8c306c0829d2927c.jpg,-91%,"₩1,900","₩20,500",Steam
Blackguards 2,https://www.greenmangaming.com/games/blackguards-2/,https://images.greenmangaming.com/bf676d34623f4054afb1a1fdb727a9d1/7da1a83b99c94b45b85ea3de94fc3601.jpg,-90%,"₩1,100","₩11,000",Steam
Deponia Doomsday,https://www.greenmangaming.com/games/deponia-doomsday/,https://images.greenmangaming.com/0af72b518f184c34aceb38a37abfe656/b838580eaacf4890983b479e4de53b13.jpg,-90%,"₩2,100","₩21,000",Steam
The Long Journey Home,https://www.greenmangaming.com/games/the-long-journey-home/,https://images.greenmangaming.com/c844aa7004264385929424d3c4c779bc/3acc93e1578a4140b876b0347f04957c.jpg,-90%,"₩1,100","₩11,000",Steam
E.T. Armies,https://www.greenmangaming.com/games/et-armies/,https://images.greenmangaming.com/78b976d1323441c39dfe763c4fe26904/c3000060f61c43d6bb0f723c1f8946fd.jpg,-90%,"₩1,600","₩16,000",Steam
The Last Tinker: City of Colors,https://www.greenmangaming.com/games/the-last-tinker-city-of-colors/,https://images.greenmangaming.com/3589896901924c83b30ed2ab30f8a949/ef0a306ac91b421db61b0524fed5d702.jpg,-90%,"₩2,200","₩22,000",Steam
Aldorlea Games RPG Bundle,https://www.greenmangaming.com/games/aldorlea-games-rpg-bundle-pc/,https://images.greenmangaming.com/046a19620bd141569c07d60a6773381a/be070bf581a145e580cdda0b77b1b2c4.jpg,0%,"₩26,100","₩26,100",Steam
JARS,https://www.greenmangaming.com/games/jars-pc/,https://images.greenmangaming.com/94d9016512ad4fb6ba50011a5968d80d/688e2d763c684b83806dd5fea5fedb77.jpg,-90%,"₩1,400","₩13,500",Steam
Goodbye Deponia,https://www.greenmangaming.com/games/goodbye-deponia/,https://images.greenmangaming.com/f94ac73d01734d038a8fb75ff7b5a1ef/78eec80c251b4b55945306459590ca2c.jpg,-90%,"₩2,200","₩21,500",Steam
Bounty Train - Tranium Edition,https://www.greenmangaming.com/games/bounty-train-trainium-edition/,https://images.greenmangaming.com/fab34b3a2b7645c18efa1b2ceccfacc9/94965a1fe932448a91d9db2b682d968b.jpg,-90%,"₩1,700","₩16,500",Steam
Helheim Hassle,https://www.greenmangaming.com/games/helheim-hassle-pc/,https://images.greenmangaming.com/1714fcff9bd04a0a8f427c48846dcaac/3b20d9579591454a8e06de66d38ebe3a.jpg,-90%,"₩2,100","₩21,500",Steam
Edna and Harvey: Harvey's New Eyes,https://www.greenmangaming.com/games/edna-and-harvey-harveys-new-eyes/,https://images.greenmangaming.com/19d3d08331ae454d91b32a8e01eea95d/a13f39cfa9b943e9a336963e81a519cc.jpg,-90%,"₩2,100","₩21,000",Steam
Mainlining,https://www.greenmangaming.com/games/mainlining/,https://images.greenmangaming.com/9ee4d3dd8844414ba3b4403c9d36a406/b6773c59fe18498f87beb0fffe25d74c.jpg,-90%,"₩1,400","₩13,500",Steam
Holy Potatoes! A Weapon Shop?!,https://www.greenmangaming.com/games/holy-potatoes-a-weapon-shop/,https://images.greenmangaming.com/34e01ae461d1423683f7b646cc23ff76/8cad896a69f041cdb8849f8dd4a6e8c1.jpg,-90%,"₩1,100","₩11,000",Steam
VELONE,https://www.greenmangaming.com/games/velone-pc/,https://images.greenmangaming.com/17a18d19249c45b9b6041f290768e1d4/9faa55df653b42ca9e3110b608ca9ffe.jpg,-90%,"₩1,900","₩19,000",Steam
A Year of Rain,https://www.greenmangaming.com/games/a-year-of-rain-pc/,https://images.greenmangaming.com/756d0a8239a24f2b94eb791ed89de70c/e6aa13bd90c54d44a3a11b99a923ceca.jpg,-90%,"₩1,700","₩16,500",Steam
Daedalic Adventure Bundle,https://www.greenmangaming.com/games/daedalic-adventure-bundle/,https://images.greenmangaming.com/0aad1d4798034dc6bba0d8e03753c047/25718570c0e149da9ed411702db2144f.jpg,-90%,"₩3,300","₩33,000",Steam
1954 Alcatraz,https://www.greenmangaming.com/games/1954-alcatraz/,https://images.greenmangaming.com/655ed80277da45139589c2550090c612/4a1a8169ce6c4ab491e95f4b68c02dd0.jpg,-90%,"₩1,100","₩11,000",Steam
Cast of the Seven Godsends,https://www.greenmangaming.com/games/cast-of-the-seven-godsends/,https://images.greenmangaming.com/af8878d4d5584d65b05cd4dd30636fd1/ec0d8a7faf7d4419abf039521af2e2bc.jpg,-90%,"₩1,100","₩10,500",Steam
The Great Perhaps,https://www.greenmangaming.com/games/the-great-perhaps-pc/,https://images.greenmangaming.com/30d24a884c004b17bc39582687a79363/c932783102a646e8840b24531a3bfdee.jpg,-90%,"₩1,100","₩10,800",Steam
The Night of the Rabbit,https://www.greenmangaming.com/games/the-night-of-the-rabbit/,https://images.greenmangaming.com/3c2001fe0a1e47578670a0b37362490f/2c5c6db52b7047f2947646b158e1ca01.jpg,-90%,"₩2,100","₩21,000",Steam
Chaos on Deponia,https://www.greenmangaming.com/games/chaos-on-deponia-pc/,https://images.greenmangaming.com/011d1adfda1a4989afddf626900e756d/e33d071371fe4c93911b3211b66b44ca.jpg,-90%,"₩2,100","₩21,000",Steam
Eternity: The Last Unicorn,https://www.greenmangaming.com/games/eternity-the-last-unicorn-pc/,https://images.greenmangaming.com/896eaae27d0e4f0d8c938955139b6571/bcbff9c6c8304f36bfa0d44f7aeeb659.jpg,-90%,"₩2,200","₩21,500",Steam
VR Ping Pong,https://www.greenmangaming.com/games/vr-ping-pong-pc/,https://images.greenmangaming.com/1080a70ca58148b88a77e13a28c3e9d3/8516b763713b48b89fa2f8867439eef1.jpg,-90%,"₩1,100","₩10,500",Steam
Men of War: Assault Squad 2 - Cold War,https://www.greenmangaming.com/games/men-of-war-assault-squad-2-cold-war-pc/,https://images.greenmangaming.com/3d7d949051274fc387a579a88ee59850/1b1d90f4d30e4ec7914eef125e189ca5.jpg,-90%,"₩2,200","₩21,500",Steam
Fire,https://www.greenmangaming.com/games/fire/,https://images.greenmangaming.com/c885693677fb41c997b3c82bcd466275/441c5ed71f194f93b40516d36ebe8d39.jpg,-90%,"₩1,300","₩12,500",Steam
Blackguards,https://www.greenmangaming.com/games/blackguards/,https://images.greenmangaming.com/bb7ed1ffb4bc4a72b116f703829f06f4/0ef55d2efe684a15bd1906a2e76329e7.jpg,-90%,"₩1,100","₩10,500",Steam
Brunch Club,https://www.greenmangaming.com/games/brunch-club-pc/,https://images.greenmangaming.com/b99a5bb874cb4c49989ef693d85342c7/82739947947347e6a1ae7032b5e3d55c.jpg,-90%,"₩1,400","₩13,500",Steam
Deus Ex: Mankind Divided,https://www.greenmangaming.com/games/deus-ex-mankind-divided/,https://images.greenmangaming.com/d5d52747370547ecb3a88bcb52cf0eaf/831cacabd5ba4a14a0e9adb2d5407560.jpg,-88%,"₩4,100","₩33,000",Steam
Men of War: Assault Squad - Game of the Year,https://www.greenmangaming.com/games/men-of-war-assault-squad-game-of-the-year/,https://images.greenmangaming.com/1962330ebcb14a7fb940a04d2666417e/55915fa302af4690b93f0ee1606038b0.jpg,-90%,"₩1,700","₩16,500",Steam
Zombies on a Plane: Deluxe Edition,https://www.greenmangaming.com/games/zombies-on-a-plane-deluxe-edition/,https://images.greenmangaming.com/fd796860e15a4500ad8620981367728c/61ff16ff6f5b4f688f9dbdbb8fd1d667.jpg,-90%,"₩1,100","₩11,000",Steam
Men of War: Condemned Heroes,https://www.greenmangaming.com/games/men-of-war-condemned-heroes/,https://images.greenmangaming.com/c755afc029bf416a8907a32c903f4129/508bfc98e3e7497aba73cace4a8a5f6d.jpg,-90%,₩900,"₩8,900",Steam
FALLBACK,https://www.greenmangaming.com/games/fallback-pc/,https://images.greenmangaming.com/700c94d59239479bba2390aa9911b694/3bdbe852f2704fadbab71e02432a98d5.jpg,-90%,"₩1,100","₩10,500",Steam
Anna's Quest,https://www.greenmangaming.com/games/annas-quest/,https://images.greenmangaming.com/a23b88289fd947678ffaa7c0fbce16dc/3dd57baf1e2a4bd09150560ce9b17d57.jpg,-90%,"₩2,100","₩21,000",Steam
Valhalla Hills: Two-Horned Helmet Edition,https://www.greenmangaming.com/games/valhalla-hills-two-horned-helmet-edition/,https://images.greenmangaming.com/fe53534594c248b9a1c942c5f2902fea/9c668ea923ee42e698e1e5979eeae779.jpg,-90%,"₩1,500","₩15,000",Steam
The Whispered World Special Edition,https://www.greenmangaming.com/games/the-whispered-world-special-edition/,https://images.greenmangaming.com/62482d901108479ea0b8a201309f9eb2/a4d887ba0c254482aa9c47a746b76141.jpg,-90%,"₩2,100","₩21,000",Steam
Syberia 3 Deluxe Edition,https://www.greenmangaming.com/games/syberia-3-deluxe-edition-pc/,https://images.greenmangaming.com/849f404503864edb84e35cbd615b709d/df87ce88e86848a88254033bf30c64c9.jpg,-90%,"₩4,100","₩41,000",Steam
Crazy Machines 3,https://www.greenmangaming.com/games/crazy-machines-3/,https://images.greenmangaming.com/08c8b93705944456bbe4eeab0d6997fd/2e7d3beb84cf4de192288c6ab07a8972.jpg,-90%,"₩1,200","₩11,500",Steam
LEGO: Marvel Avengers Deluxe Edition,https://www.greenmangaming.com/games/lego-marvel-avengers-deluxe-edition/,https://images.greenmangaming.com/3f2c0db62beb4100b0c14fe44fd07837/a4edcc251c6241aea82d34cddcfdcc94.jpg,-88%,"₩8,700","₩72,000",Steam
BLACKHOLE: Complete Edition,https://www.greenmangaming.com/games/blackhole-complete-edition/,https://images.greenmangaming.com/28fba0b36cd94be39eb7dc0307a72c7a/a3bb7308421949a7a2f84d6c4150c124.jpg,-90%,"₩1,600","₩15,500",Steam
Haimrik,https://www.greenmangaming.com/games/haimrik/,https://images.greenmangaming.com/ea9e4026a79c468bb9fd31c987fd5cb1/54c72917c94d4b9dba151eaee3883afe.jpg,-90%,"₩1,100","₩11,000",Steam
Dead Synchronicity: Tomorrow Comes Today,https://www.greenmangaming.com/games/dead-synchronicity-tomorrow-comes-today/,https://images.greenmangaming.com/63a41c6cabdb44ce882e9eef59465172/a68f04b92a5d458399c4b49af409792b.jpg,-90%,"₩1,100","₩10,500",Steam
Men of War: Vietnam,https://www.greenmangaming.com/games/men-of-war-vietnam/,https://images.greenmangaming.com/f0dfe4b9756647a59ca49bb3d3b06526/80c2f2411d5c4120b1d3fbcd77786dda.jpg,-90%,₩900,"₩8,900",Steam
SPACECOM,https://www.greenmangaming.com/games/spacecom/,https://images.greenmangaming.com/5516fc10f90d4719844bdde4df04aad2/2a3e954179f6473d8e9fc8e2eadfa179.jpg,-91%,₩900,"₩10,000",Steam
Elven Legacy Collection,https://www.greenmangaming.com/games/elven-legacy-collection/,https://images.greenmangaming.com/6a94733a7aa148a8a936c18bc960b048/0e07d61c8c114f078028f6ae9a626b2c.jpg,-90%,₩900,"₩8,900",Steam
Deus Ex: Human Revolution - Director's Cut,https://www.greenmangaming.com/games/deus-ex-human-revolution-directors-cut/,https://images.greenmangaming.com/fbdb091017d24e5885657f8f101633e0/19d08a241f874d41adca86da05b855dc.jpg,-87%,"₩2,800","₩22,000",Steam
Edge Of Eternity,https://www.greenmangaming.com/games/edge-of-eternity-pc/,https://images.greenmangaming.com/bd91969cb12843cdab1e9ff424ca3868/d8c81500e9b34eb58d9b63216eaa2519.jpg,-88%,"₩3,800","₩31,000",Steam
The Daedalic Comedy Selection,https://www.greenmangaming.com/games/the-daedalic-comedy-selection/,https://images.greenmangaming.com/872abf1bc2c84a24b372882697a66efb/1703bae3d7a64090bfb52f561b5faf1e.jpg,-90%,"₩3,700","₩37,000",Steam
Middle-Earth: Shadow of Mordor Game of the Year Edition,https://www.greenmangaming.com/games/middle-earth-shadow-of-mordor-game-of-the-year-edition/,https://images.greenmangaming.com/4e3dba93eb7f4b258aefb4fa03df2c25/d2e562c7ec5a4c8c99f4903624b4c982.jpg,-84%,"₩3,400","₩21,000",Steam
Vampire: The Masquerade – Swansong,https://www.greenmangaming.com/games/vampire-the-masquerade-swansong-pc/,https://images.greenmangaming.com/428f421c18da4774abb36a1fe266fdfb/50fe4cd95bc8463a8cb06f39ae6edffa.jpg,-88%,"₩6,200","₩51,000",Steam
Pickleball Smash,https://www.greenmangaming.com/games/pickleball-smash-pc/,https://images.greenmangaming.com/2922b61fb0034ae38b63ee480f6207a8/8c58ba33538e4091a0624174404663b5.jpg,-90%,"₩4,200","₩42,000",Steam
Thief II: The Metal Age,https://www.greenmangaming.com/games/thief-ii-the-metal-age/,https://images.greenmangaming.com/8a3a7ff814ac492ba70603a02434d8eb/58500341606b42c598fe70dc6b8ef0f7.jpg,-87%,"₩1,000","₩7,700",Steam
Frostpunk: Season Pass,https://www.greenmangaming.com/games/frostpunk-season-pass-pc/,https://images.greenmangaming.com/55ba60a071ae4fa29c0b95eb8fce53c9/6fb838df71fb4da38e53babb4061b2f7.jpg,-87%,"₩3,400","₩25,600",Steam
Dark Future: Blood Red States,https://www.greenmangaming.com/games/dark-future-blood-red-states-pc/,https://images.greenmangaming.com/83542508a7274c05916e4b6dcfef25c3/8a62eb8d3feb4c17a1a06d247a30356f.jpg,-90%,"₩2,700","₩27,000",Steam
Middle-earth: Shadow of War,https://www.greenmangaming.com/games/middle-earth-shadow-of-war-pc/,https://images.greenmangaming.com/025d57defe7044b2970717786bc86245/029c978a1a79429c81d5eec1f07b8c2a.jpg,-88%,"₩6,400","₩53,000",Steam
The Elder Scrolls V: Skyrim VR,https://www.greenmangaming.com/games/the-elder-scrolls-v-skyrim-vr-pc/,https://images.greenmangaming.com/63f49dc993e24a3faeb2060eced3ae62/65214b34d30145839e96caa1d05b6c24.jpg,-78%,"₩15,300","₩69,000",Steam
Borderlands 3 Super Deluxe Edition,https://www.greenmangaming.com/games/borderlands-3-super-deluxe-edition-pc/,https://images.greenmangaming.com/044f8ee7c5e544fcbd6a2f7e38b16f71/5327858a92764a26a075359910b1c617.jpg,-82%,"₩16,100","₩88,900",Steam
Tomb Raider,https://www.greenmangaming.com/games/tomb-raider/,https://images.greenmangaming.com/d8c7c2b279194471ab2c24792d6e18f3/3fbda64c676b4ee8bce24caf6733c764.jpg,-87%,"₩2,200","₩16,500",Steam
Memoria,https://www.greenmangaming.com/games/memoria/,https://images.greenmangaming.com/d576e3a1c92e4a7384d43171d2f6cb0e/65b9519751784e81ab2fd9b2d47f7968.jpg,-90%,"₩2,100","₩21,000",Steam
The Dark Eye: Chains of Satinav,https://www.greenmangaming.com/games/the-dark-eye-chains-of-satinav/,https://images.greenmangaming.com/c682102fbc484e1f8390c0468fd70dee/da342ff6a70b43929198771b13b3f3e5.jpg,-90%,"₩2,100","₩21,000",Steam
Besiege,https://www.greenmangaming.com/games/besiege-pc/,https://images.greenmangaming.com/bf1e8a6bb3b54c938ead1e9cbb8174c6/aab28a6d944149d1a806319845801308.jpg,-85%,"₩2,500","₩16,500",Steam
The Dark Eye Universe Bundle,https://www.greenmangaming.com/games/the-dark-eye-universe-bundle/,https://images.greenmangaming.com/2c0657efe07849c389a6c586780579e0/63f2ac4a711a41bb8c4adcb484c4bbd4.jpg,-90%,"₩3,800","₩38,000",Steam
Gear.Club Unlimited 2 - Ultimate Edition,https://www.greenmangaming.com/games/gear-club-unlimited-2-ultimate-edition-pc/,https://images.greenmangaming.com/d18497d6bfd24b7d8554b03eb53310b9/0f4652f5f43147c09de323eaf46ae417.jpg,-90%,"₩2,600","₩25,600",Steam
Vampire: The Masquerade – Swansong PRIMOGEN Edition,https://www.greenmangaming.com/games/vampire-the-masquerade-swansong-primogen-edition-pc/,https://images.greenmangaming.com/4caaf6e459c64ce2b3136510d0eb834c/78bc2c93a98447c6920e1235ba32bff0.jpg,-88%,"₩7,600","₩63,000",Steam
Goodbye Deponia Premium Edition,https://www.greenmangaming.com/games/goodbye-deponia-premium-edition/,https://images.greenmangaming.com/958abfc8093541d8b85e43fc3393f835/01bb7ca427134cbd80d00b9fc3b9f125.jpg,-90%,"₩2,700","₩27,000",Steam
Iron Danger,https://www.greenmangaming.com/games/iron-danger-pc/,https://images.greenmangaming.com/04ddf501233a4e8db433f2ee79e234f3/b91a0a8e3794476f9707c7c5ba13e5d1.jpg,-90%,"₩2,200","₩22,000",Steam
Cobra Kai 2: Dojos Rising,https://www.greenmangaming.com/games/cobra-kai-2-dojos-rising-pc/,https://images.greenmangaming.com/4fdf756857b1478382929fb7cc0cf491/de9daf7db8b445b4b919da50d00319f0.jpg,-90%,"₩5,100","₩51,000",Steam
Bounty Train,https://www.greenmangaming.com/games/bounty-train/,https://images.greenmangaming.com/a726df234ff14b9c96c090eedfe15182/6d319c4ffe414b03a2dc10261ce2267e.jpg,-90%,"₩1,100","₩11,000",Steam
WRC Generations,https://www.greenmangaming.com/games/wrc-generations-pc/,https://images.greenmangaming.com/9dc0cb26c775421e9df1529537e9616f/4e9ae29d1cac4d9cac488f9174b30de5.jpg,-88%,"₩5,000","₩41,000",Steam
Rogue Trooper Redux - Collector's Edition Upgrade,https://www.greenmangaming.com/games/rogue-trooper-redux-collectors-edition-upgrade/,https://images.greenmangaming.com/cb2f09963c99401abb1946c7973d6173/ad75c45d74564ebcb968636d06be447d.jpg,-88%,₩800,"₩6,700",Steam
Men of War: Assault Squad,https://www.greenmangaming.com/games/men-of-war-assault-squad/,https://images.greenmangaming.com/71cce99f0e374d3a9577e741eb667b65/9eda2c200e6e4ebfa2e0f638458d746f.jpg,-90%,"₩1,100","₩11,000",Steam
Lara Croft And The Guardian Of Light,https://www.greenmangaming.com/games/lara-croft-and-the-guardian-of-light/,https://images.greenmangaming.com/848370c92bc34080af8a5df538e9536a/eb16da1e39e54cac8adf184634f3c0c0.jpg,-86%,"₩1,400","₩9,900",Steam
BLACKHOLE,https://www.greenmangaming.com/games/blackhole/,https://images.greenmangaming.com/18818a3c168c4774b0b40f5670456099/417e270e8eba4be8b7111a424c777662.jpg,-90%,"₩1,000","₩9,900",Steam
The LEGO Ninjago Movie Videogame,https://www.greenmangaming.com/games/the-lego-ninjago-movie-videogame-pc/,https://images.greenmangaming.com/e7acce3c1adb46f2901b1ad13ef26e43/7474795ed5b44d3cb5e59fe354495fa4.jpg,-85%,"₩3,400","₩22,500",Steam
Deus Ex: Invisible War,https://www.greenmangaming.com/games/deus-ex-invisible-war/,https://images.greenmangaming.com/c45aaec5a9cc459087972d646de25f9b/aaedd0c7eb254703a87c37d7e92e2412.jpg,-87%,"₩1,000","₩7,700",Steam
Legacy of Kain: Defiance,https://www.greenmangaming.com/games/legacy-of-kain-defiance/,https://images.greenmangaming.com/5a5ec956bec64bda93a40b2e846ed969/ab86d36a0b154a909afcb1ab098dc4d7.jpg,-87%,"₩1,000","₩7,700",Steam
Batman™: Arkham VR,https://www.greenmangaming.com/games/batman-arkham-vr/,https://images.greenmangaming.com/f7720f7bdaf14f3b8f36b521845d1265/042a8099bfbe4cffbe3f3f5d3d86e52f.jpg,-88%,"₩2,600","₩21,000",Steam
MoonBase Commander,https://www.greenmangaming.com/games/moonbase-commander/,https://images.greenmangaming.com/df428f6ed2ff40159b1c342558ad669a/46010ac765f045548d4a7867c7b2aab6.jpg,-88%,₩800,"₩6,700",Steam
Seed Hunter 猎源,https://www.greenmangaming.com/games/seed-hunter-pc/,https://images.greenmangaming.com/eae7efb196e84bb0946ec5423a607323/b6c8dd66d7a24a18815f1c836f20fa75.jpg,-88%,"₩1,100","₩9,500",Steam
THIEF: Master Thief Edition,https://www.greenmangaming.com/games/thief-master-thief-edition/,https://images.greenmangaming.com/f28090335be74c8e8ca898ac7b49eb95/5c155cb51f474840b915dc79bd74e4bc.jpg,-87%,"₩3,500","₩27,500",Steam
Dnovel Shooter Bundle,https://www.greenmangaming.com/games/dnovel-shooter-bundle-pc/,https://images.greenmangaming.com/e165654852bd4c07a9155b171ea84f67/7a87585a761e460f88a1a20232db539c.jpg,-90%,"₩4,700","₩47,000",Steam
Dnovel Platformer Bundle,https://www.greenmangaming.com/games/dnovel-platformer-bundle-pc/,https://images.greenmangaming.com/4931454f28cf4b45ac325182ba77497b/8bab52bffeac47b5960ad3189a563888.jpg,0%,"₩79,500","₩79,500",Steam
NHRA Championship Drag Racing: Speed for All,https://www.greenmangaming.com/games/nhra-championship-drag-racing-speed-for-all-pc/,https://images.greenmangaming.com/d544340195c2401db233e874cd9df329/4ec173a665ae4ea8832572d0c3be0496.jpg,-90%,"₩5,100","₩51,000",Steam
Ogre,https://www.greenmangaming.com/games/ogre/,https://images.greenmangaming.com/92ef412aa3c24708a97ddf1d7b155a8f/53cd8e6451a2481c808d983e098de29c.jpg,-90%,"₩2,700","₩27,000",Steam
Tomb Raider: Underworld,https://www.greenmangaming.com/games/tomb-raider-underworld/,https://images.greenmangaming.com/c8091cd0aa1944d9b30f1500108ba1f6/3eea13bbfd474a49a619c2af270b2a0f.jpg,-86%,"₩1,400","₩9,900",Steam
Tomb Raider: Anniversary,https://www.greenmangaming.com/games/tomb-raider-anniversary/,https://images.greenmangaming.com/ce5dab75e6304d6583143232c15f4931/e35e62d69ef74dcbb8c68a04a27ef28f.jpg,-86%,"₩1,400","₩9,900",Steam
Tiny Tina's Wonderlands,https://www.greenmangaming.com/games/tiny-tinas-wonderlands-pc/,https://images.greenmangaming.com/8161e01dcc5941c6b24da934bdb84cd1/e42b5c94a8444cbe933f0025e8051d05.jpg,-82%,"₩11,700","₩65,000",Steam
Clash: Artifacts of Chaos - Zeno Edition,https://www.greenmangaming.com/games/clash-artifacts-of-chaos-zeno-edition-pc/,https://images.greenmangaming.com/95d5cadee23f46b0ba83c77c15bb42f7/2fadba55fa02471bbefc593bd16f8cd4.jpg,-88%,"₩5,100","₩42,000",Steam
