이름,링크,이미지,할인률,할인가,정가,DRM
Mafia: The Old Country Deluxe Edition,https://www.greenmangaming.com/games/mafia-the-old-country-deluxe-edition-pc/,https://images.greenmangaming.com/7091b4df05264fca914f04d5c0cede55/32ad1d2100db4e5ab5c9641187acd325.jpg,-12%,"₩63,800","₩72,500",Steam
Phantom Squad,https://www.greenmangaming.com/games/phantom-squad-pc/,https://images.greenmangaming.com/fd42710383af46a38bdd5fda8456ae01/f606c6294bac4ec38ff675fbfe3a0eef.jpg,-40%,"₩9,300","₩15,500",Steam
Mafia: The Old Country,https://www.greenmangaming.com/games/mafia-the-old-country-pc/,https://images.greenmangaming.com/c745bdad9a44417da44b0441af59e4fd/93e8a88e80284663b7a926d10343ef88.jpg,-12%,"₩53,600","₩60,800",Steam
The King is Watching,https://www.greenmangaming.com/games/the-king-is-watching-pc/,https://images.greenmangaming.com/c6da711605d5477e99748154cc3323ef/b353abe0d0de407c90ca4862142dd874.jpg,-23%,"₩11,500","₩14,900",Steam
Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition,https://www.greenmangaming.com/games/dungeons-and-dragons-neverwinter-nights-2-enhanced-edition-pc/,https://images.greenmangaming.com/825c1801ba84477bb8806a4ceb6bfd68/addd4dc5a2294fbf88b394558547e15e.jpg,-13%,"₩27,900","₩32,000",Steam
Hogwarts Legacy: Deluxe Edition,https://www.greenmangaming.com/games/hogwarts-legacy-deluxe-edition-pc/,https://images.greenmangaming.com/66f4e94547b3440a98c5aba445bcd897/8d351daff49e424a8af447fff43a6cc5.jpg,-77%,"₩19,600","₩86,800",Steam
Saloon Simulator,https://www.greenmangaming.com/games/saloon-simulator-pc/,https://images.greenmangaming.com/12ab37b6b148414eb6289c8f3b01c0ad/c0a3a37e1b8f469fa2459041c7747a3c.jpg,-19%,"₩16,700","₩20,500",Steam
Hogwarts Legacy,https://www.greenmangaming.com/games/hogwarts-legacy-pc/,https://images.greenmangaming.com/6a8a200f88f5416aa08b0754d343c401/2716c34ac5274e5b94c00e58a1a6d36e.jpg,-77%,"₩18,000","₩79,800",Steam
HELLDIVERS™ 2,https://www.greenmangaming.com/games/helldivers-2-pc/,https://images.greenmangaming.com/6c983a432bf14a11b322f69f62509131/9ad5e8a141454f1f861cade50416d15d.jpg,0%,"₩44,800","₩44,800",Steam
Street Fighter 6 Years 1-2 Fighters Edition,https://www.greenmangaming.com/games/street-fighter-6-years-1-2-fighters-edition-pc/,https://images.greenmangaming.com/93798c5c6f464411a98f74ea2fac4759/dfb2095563a44aabaf677b3d44047d0d.jpg,-12%,"₩61,500","₩69,800",Steam
Borderlands 3: Ultimate Edition,https://www.greenmangaming.com/games/borderlands-3-ultimate-edition-pc/,https://images.greenmangaming.com/4b5c6490ea1043428fef686f5e9784af/5d95fa363ce54733a49864f5df20ba69.jpg,-77%,"₩26,400","₩116,900",Steam
Red Dead Redemption 2,https://www.greenmangaming.com/games/red-dead-redemption-2-pc/,https://images.greenmangaming.com/d5811458e1394d6d84ea09378631b0b7/85a9edaf1e0640b6826f020a92a9c0b0.jpg,-77%,"₩16,500","₩73,000",Epic Games
Red Dead Redemption 2: Ultimate Edition,https://www.greenmangaming.com/games/red-dead-redemption-2-ultimate-edition-pc/,https://images.greenmangaming.com/d3029d9875cd44d8956945ad7facfeb1/e2cca8b7c06749598f780ad009fc213f.jpg,-82%,"₩22,200","₩123,000",Epic Games
Blue Prince,https://www.greenmangaming.com/games/blue-prince-pc/,https://images.greenmangaming.com/dc78fdb73fa54cbcb93bc3880db27679/97e15c828af9481fb43e3455de05b517.jpg,-23%,"₩24,500","₩32,000",Steam
PGA Tour 2K25,https://www.greenmangaming.com/games/pga-tour-2k25-pc/,https://images.greenmangaming.com/c9b44485805649d5b9f8ffaa2a314b8b/27ee9cb28baf444987c9750ef20347b6.jpg,-40%,"₩50,200","₩83,000",Steam
Red Dead Redemption,https://www.greenmangaming.com/games/red-dead-redemption-epic-pc/,https://images.greenmangaming.com/3c0c22a04ffa4d3587ce04ef2a18e43f/5d0b0d7b70da4fb5ac05a6e1ac7d6465.jpg,-46%,"₩33,500","₩62,000",Epic Games
Dishonored 2,https://www.greenmangaming.com/games/dishonored-2-pc/,https://images.greenmangaming.com/7e3f67c95415484ea9de17635f168255/d3d06f4f27aa43bea57e238d33b0005c.jpg,-91%,"₩3,000","₩33,500",Steam
The Last of Us™ Part I,https://www.greenmangaming.com/games/the-last-of-us-part-i-pc/,https://images.greenmangaming.com/13d8da7414194934b8c0721b67184141/08dc4adc246945628ea940020970680b.jpg,0%,"₩62,800","₩62,800",Steam
Car Dealer Simulator,https://www.greenmangaming.com/games/car-dealer-simulator-pc/,https://images.greenmangaming.com/6e093f61869b42ac9c52e2c342bb272d/d6bdf6b531164f51bc1c768ed8182254.jpg,-10%,"₩19,800","₩21,900",Steam
Brickadia,https://www.greenmangaming.com/games/brickadia-pc/,https://images.greenmangaming.com/83d2ba5cf2664fc4838cb31f01976211/e0e9b6e8f3cb4a0d984a95ae96843342.jpg,0%,"₩32,000","₩32,000",Steam
NBA 2K25 All-Star Edition,https://www.greenmangaming.com/games/nba-2k25-all-star-edition-pc/,https://images.greenmangaming.com/07f32469e64044f0a5b34b9d4e3b4323/122f5f4288cb41b581477429fb7249e7.jpg,-82%,"₩21,500","₩118,900",Steam
Dead by Daylight,https://www.greenmangaming.com/games/dead-by-daylight-pc/,https://images.greenmangaming.com/6ef373f611cc4300a83c3d38e89f8e9e/308a46fbbbec4ffb83f621907c9cb5ff.jpg,-60%,"₩8,600","₩21,500",Steam
Borderlands 4,https://www.greenmangaming.com/games/borderlands-4-pc/,https://images.greenmangaming.com/92aa0dc933d1406dbd59724f78ca8db4/585352f28fa64db0b71b583f76f752d7.jpg,-12%,"₩74,700","₩84,800",Steam
Grand Theft Auto V Enhanced,https://www.greenmangaming.com/games/grand-theft-auto-v-enhanced-pc/,https://images.greenmangaming.com/70e3b3a9b50343e08cb070f50248584e/e1122199253f4660812bc9583fa76ac3.jpg,-55%,"₩16,600","₩36,800",Rockstar Social Club
Onimusha 2: Samurai’s Destiny,https://www.greenmangaming.com/games/onimusha-2-samurais-destiny-pc/,https://images.greenmangaming.com/1934c867e51d45919a4e2cf0cd2f9af1/177cdc23d458426a94fa98cde5bc7790.jpg,-16%,"₩29,300","₩34,800",Steam
Final Fantasy Tactics - The Ivalice Chronicles: Deluxe Edition,https://www.greenmangaming.com/games/final-fantasy-tactics-the-ivalice-chronicles-deluxe-edition-pc/,https://images.greenmangaming.com/ed78db43932a4a1482c17d03b9640085/e99f875a2f5746eb87ed5aed8a5f421a.jpg,0%,"₩69,800","₩69,800",Steam
Tiny Tina's Wonderlands: Chaotic Great Edition,https://www.greenmangaming.com/games/tiny-tinas-wonderlands-chaotic-great-edition-pc/,https://images.greenmangaming.com/23f706865f094b89ab4a7f6e309b2053/226822c1aa4a4c90bbaea16f1381cf18.jpg,-82%,"₩16,300","₩90,400",Steam
XCOM® 2 Collection,https://www.greenmangaming.com/games/xcom-2-collection-pc/,https://images.greenmangaming.com/6e01e46dcb8c463a995ee5052be6130e/86a1483335434a78b5e840d7625a141d.jpg,-93%,"₩7,800","₩106,800",Steam
Borderlands 3,https://www.greenmangaming.com/games/borderlands-3-pc/,https://images.greenmangaming.com/de2336cf64c74860b81cf540351cefe2/549776a190584c998cae46fa176fdea2.jpg,-91%,"₩5,900","₩64,900",Steam
Risk of Rain 2,https://www.greenmangaming.com/games/risk-of-rain-2-pc/,https://images.greenmangaming.com/7b5c27f7555b4aa2af324d966a8a7450/d47ba348c585453086769daf03b8ee1f.jpg,-70%,"₩7,800","₩26,000",Steam
Duke Nukem 3D: 20th Anniversary World Tour,https://www.greenmangaming.com/games/duke-nukem-3d-20th-anniversary-world-tour-pc/,https://images.greenmangaming.com/b3e415513a954fedbab49c1623e489cf/eb96678397a74a31b8a0eeb22d6c6270.jpg,-91%,"₩1,900","₩21,000",Steam
Street Fighter 6,https://www.greenmangaming.com/games/street-fighter-6-pc/,https://images.greenmangaming.com/b796e9b38e4a4dcab1710a5d486bc6c5/f9f3ec1b411d4e97a97528d5df5d8f7d.jpg,-12%,"₩39,500","₩44,800",Steam
Back 4 Blood: Ultimate Edition,https://www.greenmangaming.com/games/back-4-blood-ultimate-edition-pc/,https://images.greenmangaming.com/c710ddb0bc0c4b9287555e8cb8da08f4/d1331d3b07594119a3a4f1de4c94ec6f.jpg,-91%,"₩10,200","₩113,000",Steam
Dishonored - Definitive Edition,https://www.greenmangaming.com/games/dishonored-definitive-edition-pc/,https://images.greenmangaming.com/411fd0ea0869441d999e57e149cca04b/057fedef09fd42898f6844ecab2dc674.jpg,-82%,"₩3,900","₩22,000",Steam
The First Berserker: Khazan,https://www.greenmangaming.com/games/the-first-berserker-khazan-pc/,https://images.greenmangaming.com/1019486054e2406caf2c85fdee9930e3/eda6a643558a41b78bf510829e1097b2.jpg,0%,"₩64,800","₩64,800",Steam
Middle-earth: Shadow of War Definitive Edition,https://www.greenmangaming.com/games/middle-earth-shadow-of-war-definitive-edition-pc/,https://images.greenmangaming.com/1bd6a904fcd946928ed1f120f5047d38/343030b224b74c6fa9e83a8748b4b7a0.jpg,-92%,"₩4,900","₩61,000",Steam
Suicide Squad: Kill the Justice League - Deluxe Edition,https://www.greenmangaming.com/games/suicide-squad-kill-the-justice-league-deluxe-edition-pc/,https://images.greenmangaming.com/0870711e69774891abfb82f8d000fc40/6662535ab0e24ca9995f9653f0c4af89.jpg,-95%,"₩5,900","₩128,800",Steam
No Man's Sky,https://www.greenmangaming.com/games/no-mans-sky/,https://images.greenmangaming.com/216b2f0937a84697aa1104ace1b21107/5f0a477421864707a41df886ed24dbd9.jpg,-60%,"₩25,200","₩63,000",Steam
Zombie Army 4: Dead War,https://www.greenmangaming.com/games/zombie-army-4-dead-war-pc/,https://images.greenmangaming.com/65331099151049d182dd4e622e280741/206b17f4fd3642cc83cbeab4cbdd6ded.jpg,-92%,"₩4,400","₩53,000",Steam
